Phi[deg],Theta[deg],GainTotal
-180,0,0.308091
-165,0,0.308091
-150,0,0.308091
-135,0,0.308091
-120,0,0.308091
-105,0,0.308091
-90,0,0.308091
-75,0,0.308091
-60,0,0.308091
-45,0,0.308091
-30,0,0.308091
-15,0,0.308091
0,0,0.308091
15,0,0.308091
30,0,0.308091
45,0,0.308091
60,0,0.308091
75,0,0.308091
90,0,0.308091
105,0,0.308091
120,0,0.308091
135,0,0.308091
150,0,0.308091
165,0,0.308091
180,0,0.308091
-180,15,0.339539
-165,15,0.318969
-150,15,0.294854
-135,15,0.322496
-120,15,0.350869
-105,15,0.328007
-90,15,0.259221
-75,15,0.212644
-60,15,0.392119
-45,15,0.392119
-30,15,0.52319
-15,15,0.634064
0,15,0.658345
15,15,0.594387
30,15,0.477739
45,15,0.343167
60,15,0.247831
75,15,0.252689
90,15,0.36688
105,15,0.456034
120,15,0.440752
135,15,0.386499
150,15,0.33356
165,15,0.321951
180,15,0.339539
-180,30,0.815233
-165,30,0.696671
-150,30,0.537934
-135,30,0.233822
-120,30,0.282809
-105,30,0.41154
-90,30,0.421472
-75,30,0.410333
-60,30,0.543565
-45,30,0.700093
-30,30,0.682311
-15,30,0.771302
0,30,0.699088
15,30,0.5526
30,30,0.481479
45,30,0.601616
60,30,0.428628
75,30,0.374014
90,30,0.494538
105,30,0.440966
120,30,0.450135
135,30,0.569903
150,30,0.62806
165,30,0.71135
180,30,0.815233
-180,45,0.523982
-165,45,0.564857
-150,45,0.867592
-135,45,0.744072
-120,45,1.03265
-105,45,1.23693
-90,45,1.26321
-75,45,1.16675
-60,45,0.939992
-45,45,0.926723
-30,45,1.14217
-15,45,1.58005
0,45,1.18818
15,45,0.98171
30,45,0.582871
45,45,0.492582
60,45,0.473195
75,45,0.676385
90,45,0.864748
105,45,1.01608
120,45,1.05698
135,45,0.759342
150,45,0.609745
165,45,0.389456
180,45,0.523982
-180,60,1.9211
-165,60,1.90776
-150,60,1.3993
-135,60,1.37808
-120,60,2.09836
-105,60,1.81176
-90,60,1.57735
-75,60,1.4217
-60,60,1.5873
-45,60,1.55399
-30,60,1.63136
-15,60,1.49192
0,60,1.21253
15,60,0.792886
30,60,0.687047
45,60,0.592606
60,60,0.870152
75,60,1.28774
90,60,1.52271
105,60,2.05447
120,60,2.20161
135,60,2.05421
150,60,1.54259
165,60,1.67306
180,60,1.9211
-180,75,3.10585
-165,75,3.43306
-150,75,2.7966
-135,75,2.18939
-120,75,2.27937
-105,75,1.84149
-90,75,1.56944
-75,75,1.64044
-60,75,1.79863
-45,75,1.77471
-30,75,1.93128
-15,75,1.96705
0,75,1.44053
15,75,0.968731
30,75,0.682958
45,75,0.753498
60,75,1.26447
75,75,1.9057
90,75,2.13591
105,75,2.32334
120,75,2.28519
135,75,1.98789
150,75,1.89776
165,75,2.26057
180,75,3.10585
-180,90,2.24634
-165,90,2.93935
-150,90,2.82433
-135,90,2.29142
-120,90,1.48883
-105,90,1.49062
-90,90,1.03883
-75,90,1.44525
-60,90,1.43177
-45,90,1.863
-30,90,1.95342
-15,90,1.62511
0,90,0.958543
15,90,0.672967
30,90,0.555304
45,90,0.826608
60,90,1.29724
75,90,1.65329
90,90,1.49037
105,90,1.50242
120,90,1.16362
135,90,0.758772
150,90,0.737146
165,90,1.21991
180,90,2.24634
-180,105,1.35792
-165,105,1.82131
-150,105,2.10525
-135,105,1.57415
-120,105,0.91073
-105,105,1.08058
-90,105,1.10296
-75,105,1.20082
-60,105,1.26425
-45,105,1.70231
-30,105,1.8649
-15,105,1.65693
0,105,0.949033
15,105,0.67803
30,105,0.479927
45,105,0.741359
60,105,1.02692
75,105,1.16539
90,105,0.891705
105,105,0.753703
120,105,0.325493
135,105,0.0341434
150,105,0.152959
165,105,0.72934
180,105,1.35792
-180,120,1.77661
-165,120,2.12107
